steps;shelf_life_1;shelf_life_2;shelf_life_3
1;40.0;40.0;40.0
2;38.89636167648526;39.50410333533449;38.180408020861435
3;37.792723352970775;39.00820667067076;36.105103007865175
4;36.689085029457615;38.512310006005336;33.99057825068897
5;35.585446705943234;38.020678993440136;31.82590859075004
6;34.48180838242842;37.54478615510492;29.624337420496786
7;33.3781700589136;37.07759510945613;27.421869522198662
8;32.27453173539935;36.62226826047032;25.219939742199127
9;31.170893411885878;36.17048505860746;23.024001476203665
10;30.06725508837161;35.724036859855715;20.828996958136994
11;28.963616764856845;35.28084696108163;18.634739758357433
12;27.85997844134206;34.8421854494256;16.441233088833812
13;26.756340117827822;34.40733310696244;14.248480179969672
14;25.652701794314023;33.9767680891223;12.056484280732501
15;24.549063470799965;33.549575139904846;9.865248658790529
16;23.445425147285253;33.12633571644364;7.674776600644936
17;22.341786823770533;32.70426157208154;5.485071411766523
18;21.23814850025653;32.28183714695706;3.296136416733075
19;20.13451017674207;31.859199337130477;
20;19.030871853227385;31.435523893968256;
21;17.92723352971361;31.011834502058075;
22;16.823595206199055;30.587687371249867;
23;15.719956882684981;30.16389128612259;
24;14.616318559170404;29.73959218554778;
25;13.512680235656001;29.30217855799651;
26;12.409041912141985;28.81924454759352;
27;11.305403588627282;28.31042854394954;
28;10.201765265113039;27.767390940026665;
29;9.098126941598823;27.214156375724812;
30;7.994488618084622;26.64524069662986;
31;6.890850294570246;26.06742533814661;
32;5.787211971055879;25.476582142875294;
33;4.6835736475414835;24.884195287986458;
34;;24.311379923678405;
35;;23.756180244472883;
36;;23.230564095562748;
37;;22.68461918916897;
